COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSEU,QP,Book-EXS,USD,20080415,,,,,,,,,182.7055868,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080416,,,,,,,,,-4512.429919,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080417,,,,,,,,,886.9770253,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080418,,,,,,,,,3878.025553,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080421,,,,,,,,,-4070.141407,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080422,,,,,,,,,-1862.496635,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080423,,,,,,,,,2780.931326,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080424,,,,,,,,,6812.735981,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080425,,,,,,,,,363.7280427,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080428,,,,,,,,,736.4793332,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080429,,,,,,,,,1696.195531,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080430,,,,,,,,,1506.803775,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080501,,,,,,,,,3933.748552,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080502,,,,,,,,,-97.23645478,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080506,,,,,,,,,-2721.501371,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080507,,,,,,,,,3688.720624,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080508,,,,,,,,,1485.329243,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080509,,,,,,,,,-1424.324483,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080512,,,,,,,,,-2349.684823,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080513,,,,,,,,,-292.438886,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080514,,,,,,,,,-1080.40563,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080515,,,,,,,,,429.3508867,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080516,,,,,,,,,-1345.462254,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080519,,,,,,,,,2307.051242,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080520,,,,,,,,,-3661.298431,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080521,,,,,,,,,-3707.65602,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080522,,,,,,,,,1404.616574,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080523,,,,,,,,,-1471.942123,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
