COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSEU,QP,Book-FCT,USD,20080312,,,,,,,,,41.30968102,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080313,,,,,,,,,3.257447132,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080314,,,,,,,,,3.851289053,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080317,,,,,,,,,15.45541613,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080318,,,,,,,,,21.08509816,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080319,,,,,,,,,-35.23530145,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080320,,,,,,,,,-60.12696173,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080325,,,,,,,,,61.18458417,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080326,,,,,,,,,37.62313982,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080327,,,,,,,,,19.29781778,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080328,,,,,,,,,-15.79011341,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080331,,,,,,,,,21.59878467,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080401,,,,,,,,,-40.42965979,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080402,,,,,,,,,11.95497452,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080403,,,,,,,,,-1.196348718,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080404,,,,,,,,,22.47206127,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080407,,,,,,,,,0.898318953,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080408,,,,,,,,,-3.608906016,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080409,,,,,,,,,18.34502021,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080410,,,,,,,,,-12.61660231,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-FCT,USD,20080411,,,,,,,,,13.23738185,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier); Adjust CTN; Book-FCT; FX Rate VaR; [MUSEU French books not set up in Murex]
