COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSEU,QP,Book-EDS,USD,20080318,,,,,,,,,-254.7388643,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080319,,,,,,,,,1216.25556,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080320,,,,,,,,,1494.360537,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080325,,,,,,,,,-1254.129477,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080326,,,,,,,,,-1180.507412,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080327,,,,,,,,,-325.7973777,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080328,,,,,,,,,311.8265563,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080331,,,,,,,,,-504.1830355,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080401,,,,,,,,,1608.236567,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080402,,,,,,,,,-109.1743258,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080403,,,,,,,,,-78.6184787,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080404,,,,,,,,,-729.4906167,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080407,,,,,,,,,78.72839192,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080408,,,,,,,,,117.2471461,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080409,,,,,,,,,-566.8007091,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080410,,,,,,,,,80.74847557,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080411,,,,,,,,,-447.408056,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080414,,,,,,,,,-41.77588624,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080415,,,,,,,,,265.2676743,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080416,,,,,,,,,-1191.131759,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080417,,,,,,,,,367.3130937,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080418,,,,,,,,,1227.11674,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080421,,,,,,,,,-1169.494858,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080422,,,,,,,,,-526.9532666,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080423,,,,,,,,,720.2121062,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080424,,,,,,,,,1544.80247,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080425,,,,,,,,,79.650612,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080428,,,,,,,,,95.78224211,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080429,,,,,,,,,324.0355819,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080430,,,,,,,,,317.2712199,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080501,,,,,,,,,925.9632203,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080502,,,,,,,,,83.14691311,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080506,,,,,,,,,-865.7147192,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080507,,,,,,,,,1081.104286,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080508,,,,,,,,,-20.90687547,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080509,,,,,,,,,-330.2463547,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080512,,,,,,,,,-516.5027916,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080513,,,,,,,,,325.0421504,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080514,,,,,,,,,43.2795491,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080515,,,,,,,,,-99.32608637,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080516,,,,,,,,,-779.4883696,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
