COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSI,QP,Book-BIF,USD,20080429,,,,,,,,,5610.924165,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080430,,,,,,,,,366.7787018,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080501,,,,,,,,,-6138.775914,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080502,,,,,,,,,2381.662743,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080506,,,,,,,,,12781.15088,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080507,,,,,,,,,6168.640836,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080508,,,,,,,,,-12089.08255,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080509,,,,,,,,,7930.224944,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080512,,,,,,,,,-2481.902304,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080513,,,,,,,,,8201.024932,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080514,,,,,,,,,2137.416362,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080515,,,,,,,,,-1204.288146,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080516,,,,,,,,,418.4146266,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080519,,,,,,,,,6496.236302,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080520,,,,,,,,,-5210.510661,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080521,,,,,,,,,6721.473119,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080522,,,,,,,,,-4512.773376,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080523,,,,,,,,,-2166.49355,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080527,,,,,,,,,-1929.478888,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080528,,,,,,,,,-1536.765063,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080529,,,,,,,,,7485.143053,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080530,,,,,,,,,-5858.80217,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080602,,,,,,,,,-4659.450653,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
20260326,MUSI,QP,Book-BIF,USD,20080603,,,,,,,,,-4717.024022,,,,,,,,,,,,,,IT-Other,(Abdullah Alam);Adjust EFE; Book-CEF; FX Rate VaR; [PVHub issues for dividends to be received on equities held on ex-dividend date]
